,Actual,Predicted
1010,20275.2,26771.906
1011,20129.62,26344.469
1012,19956.33,25929.1
1013,19284.64,25542.686
1014,19250.87,25195.686
1015,19318.17,24860.635
1016,20233.33,24547.771
1017,20179.63,24253.729
1018,20569.34,23982.719
1019,21631.89,23727.34
1020,21602.92,23510.488
1021,21590.81,23340.389
1022,20865.62,23209.57
1023,19960.72,23118.389
1024,19323.73,23052.29
1025,20241.06,23007.959
1026,20586.9,22997.77
1027,20824.26,22989.16
1028,21193.15,22978.188
1029,20794.4,22989.555
1030,22446.97,23003.748
1031,23390.04,23041.404
1032,23216.53,23087.254
1033,23145.95,23159.268
1034,22685.82,23255.697
1035,22450.14,23378.18
1036,22582.59,23504.277
1037,21305.21,23637.414
1038,21260.37,23765.258
1039,22959.62,23885.186
1040,23837.99,23999.89
1041,23767.77,24118.732
1042,23639.65,24243.61
1043,23291.35,24375.902
1044,23271.66,24516.916
1045,22984.1,24658.197
1046,22812.4,24794.879
1047,22617.04,24916.51
1048,23317.87,25027.936
1049,22954.5,25127.33
1050,23178.64,25209.502
1051,23804.79,25285.156
1052,23144.72,25358.324
1053,23956.24,25433.617
1054,23941.94,25515.098
1055,24400.03,25601.775
1056,24447.26,25684.31
1057,24304.85,25769.992
1058,24086.4,25859.422
1059,23852.36,25949.195
1060,23349.03,26041.885
1061,23188.04,26115.412
1062,20829.28,26172.629
1063,21136.48,26207.887
1064,21519.5,26212.896
1065,21397.82,26190.643
1066,21529.3,26141.098
1067,21371.07,26065.863
1068,21562.6,25980.502
1069,20236.28,25879.723
1070,20039.53,25748.045
1071,19552.0,25592.896
