,Actual,Predicted
1030,1113.81,1082.0204
1031,1192.71,1082.4998
1032,1230.8,1082.9338
1033,1355.37,1083.6874
1034,1338.16,1086.8118
1035,1580.6,1091.5505
1036,1542.11,1100.0647
1037,1521.69,1111.4543
1038,1575.08,1126.2281
1039,1535.19,1144.2546
1040,1549.18,1165.1718
1041,1598.09,1187.4553
1042,1441.02,1210.9546
1043,1449.22,1234.5593
1044,1636.37,1257.698
1045,1724.8,1280.7474
1046,1722.72,1304.5946
1047,1697.75,1329.3287
1048,1679.01,1354.5859
1049,1630.55,1379.8429
1050,1631.55,1404.3125
1051,1619.26,1427.5658
1052,1608.61,1448.8843
1053,1736.91,1468.518
1054,1691.01,1486.7819
1055,1700.49,1503.7327
1056,1777.56,1519.871
1057,1703.27,1535.55
1058,1854.94,1550.744
1059,1881.28,1566.371
1060,1959.9,1582.761
1061,1984.61,1599.8335
1062,1936.58,1617.9539
1063,1898.9,1637.0344
1064,1877.05,1656.0371
1065,1834.48,1675.1796
1066,1846.77,1692.3423
1067,1608.82,1708.8481
1068,1575.96,1722.7238
1069,1618.16,1732.6053
1070,1624.18,1738.9883
1071,1665.97,1741.7684
1072,1656.66,1741.4219
1073,1695.01,1739.5642
1074,1508.44,1735.9128
1075,1491.05,1728.8856
1076,1426.97,1719.0549
